"Index Num","Asylum Data",Year,Age,Sex,"Country of Asylum"
225,235,2016,"From 14 to 15 years",Females,Austria
226,20,2016,"From 14 to 15 years",Females,Austria
227,5,2016,"From 14 to 15 years",Females,Austria
228,0,2016,"From 14 to 15 years",Females,Austria
229,0,2016,"From 14 to 15 years",Females,Austria
230,0,2016,"From 14 to 15 years",Females,Austria
231,135,2016,"From 14 to 15 years",Females,Austria
232,150,2016,"From 14 to 15 years",Females,Austria
233,260,2016,"From 14 to 15 years",Females,Austria
234,0,2016,"From 14 to 15 years",Females,Austria
235,0,2016,"From 14 to 15 years",Females,Austria
236,0,2016,"From 14 to 15 years",Females,Austria
237,6095,2016,"From 14 to 15 years",Females,Austria
238,1300,2016,"From 14 to 15 years",Females,Austria
239,820,2016,"From 14 to 15 years",Females,Austria
240,20,2016,"From 14 to 15 years",Females,Austria
241,15,2016,"From 14 to 15 years",Females,Austria
242,5,2016,"From 14 to 15 years",Females,Austria
243,30,2016,"From 14 to 15 years",Females,Austria
244,10,2016,"From 14 to 15 years",Females,Austria
245,15,2016,"From 14 to 15 years",Females,Austria
246,40,2016,"From 14 to 15 years",Females,Austria
247,5,2016,"From 14 to 15 years",Females,Austria
248,5,2016,"From 14 to 15 years",Females,Austria
249,300,2016,"From 14 to 15 years",Females,Austria
250,70,2016,"From 14 to 15 years",Females,Austria
251,15,2016,"From 14 to 15 years",Females,Austria
252,5,2016,"From 14 to 15 years",Females,Austria
253,0,2016,"From 14 to 15 years",Females,Austria
254,0,2016,"From 14 to 15 years",Females,Austria
255,0,2016,"From 14 to 15 years",Females,Austria
256,0,2016,"From 14 to 15 years",Females,Austria
257,0,2016,"From 14 to 15 years",Females,Austria
258,0,2016,"From 14 to 15 years",Females,Austria
259,5,2016,"From 14 to 15 years",Females,Austria
260,5,2016,"From 14 to 15 years",Females,Austria
261,0,2016,"From 14 to 15 years",Females,Austria
262,0,2016,"From 14 to 15 years",Females,Austria
263,0,2016,"From 14 to 15 years",Females,Austria
264,0,2016,"From 14 to 15 years",Females,Austria
265,0,2016,"From 14 to 15 years",Females,Austria
266,0,2016,"From 14 to 15 years",Females,Austria
267,5,2016,"From 14 to 15 years",Females,Austria
268,0,2016,"From 14 to 15 years",Females,Austria
269,0,2016,"From 14 to 15 years",Females,Austria
270,0,2016,"From 14 to 15 years",Females,Austria
271,0,2016,"From 14 to 15 years",Females,Austria
272,0,2016,"From 14 to 15 years",Females,Austria
273,0,2016,"From 14 to 15 years",Females,Austria
274,0,2016,"From 14 to 15 years",Females,Austria
275,0,2016,"From 14 to 15 years",Females,Austria
276,65,2016,"From 14 to 15 years",Females,Austria
277,20,2016,"From 14 to 15 years",Females,Austria
278,5,2016,"From 14 to 15 years",Females,Austria
279,65,2016,"From 14 to 15 years",Females,Austria
280,15,2016,"From 14 to 15 years",Females,Austria
281,15,2016,"From 14 to 15 years",Females,Austria
282,0,2016,"From 14 to 15 years",Females,Austria
283,0,2016,"From 14 to 15 years",Females,Austria
284,5,2016,"From 14 to 15 years",Females,Austria
285,0,2016,"From 14 to 15 years",Females,Austria
286,0,2016,"From 14 to 15 years",Females,Austria
287,0,2016,"From 14 to 15 years",Females,Austria
288,0,2016,"From 14 to 15 years",Females,Austria
289,15,2016,"From 14 to 15 years",Females,Austria
290,0,2016,"From 14 to 15 years",Females,Austria
291,250,2016,"From 14 to 15 years",Females,Austria
292,40,2016,"From 14 to 15 years",Females,Austria
293,20,2016,"From 14 to 15 years",Females,Austria
294,65,2016,"From 14 to 15 years",Females,Austria
295,75,2016,"From 14 to 15 years",Females,Austria
296,30,2016,"From 14 to 15 years",Females,Austria
297,0,2016,"From 14 to 15 years",Females,Austria
298,0,2016,"From 14 to 15 years",Females,Austria
299,0,2016,"From 14 to 15 years",Females,Austria
300,6285,2016,"From 14 to 15 years",Females,Austria
301,1370,2016,"From 14 to 15 years",Females,Austria
302,860,2016,"From 14 to 15 years",Females,Austria
303,295,2016,"From 14 to 15 years",Females,Austria
304,90,2016,"From 14 to 15 years",Females,Austria
305,85,2016,"From 14 to 15 years",Females,Austria
306,1290,2016,"From 14 to 15 years",Females,Austria
307,350,2016,"From 14 to 15 years",Females,Austria
308,80,2016,"From 14 to 15 years",Females,Austria
309,175,2016,"From 14 to 15 years",Females,Austria
310,135,2016,"From 14 to 15 years",Females,Austria
311,135,2016,"From 14 to 15 years",Females,Austria
