"Index Num","Country of Origin","Country of Origin-ISO2","Monthly Asylum Data",Year,Month,Age,Sex,"Country of Asylum"
142,Afghanistan,AF,0,2019,11,Unknown,Females,Austria
143,Afghanistan,AF,0,2019,12,Unknown,Females,Austria
144,Afghanistan,AF,0,2019,09,Unknown,Females,Belgium
145,Afghanistan,AF,0,2019,10,Unknown,Females,Belgium
146,Afghanistan,AF,0,2019,11,Unknown,Females,Belgium
147,Afghanistan,AF,0,2019,12,Unknown,Females,Belgium
148,Afghanistan,AF,0,2019,09,Unknown,Females,Bulgaria
149,Afghanistan,AF,0,2019,10,Unknown,Females,Bulgaria
150,Afghanistan,AF,0,2019,11,Unknown,Females,Bulgaria
151,Afghanistan,AF,0,2019,12,Unknown,Females,Bulgaria
152,Afghanistan,AF,0,2019,09,Unknown,Females,Switzerland
153,Afghanistan,AF,0,2019,10,Unknown,Females,Switzerland
154,Afghanistan,AF,0,2019,11,Unknown,Females,Switzerland
155,Afghanistan,AF,0,2019,12,Unknown,Females,Switzerland
156,Afghanistan,AF,0,2019,09,Unknown,Females,Cyprus
157,Afghanistan,AF,0,2019,10,Unknown,Females,Cyprus
158,Afghanistan,AF,0,2019,11,Unknown,Females,Cyprus
159,Afghanistan,AF,0,2019,12,Unknown,Females,Cyprus
160,Afghanistan,AF,0,2019,09,Unknown,Females,Czechia
161,Afghanistan,AF,0,2019,10,Unknown,Females,Czechia
162,Afghanistan,AF,0,2019,11,Unknown,Females,Czechia
163,Afghanistan,AF,0,2019,12,Unknown,Females,Czechia
164,Afghanistan,AF,0,2019,09,Unknown,Females,"Germany (until 1990 former territory of the FRG)"
165,Afghanistan,AF,0,2019,10,Unknown,Females,"Germany (until 1990 former territory of the FRG)"
166,Afghanistan,AF,0,2019,11,Unknown,Females,"Germany (until 1990 former territory of the FRG)"
167,Afghanistan,AF,0,2019,12,Unknown,Females,"Germany (until 1990 former territory of the FRG)"
168,Afghanistan,AF,0,2019,09,Unknown,Females,Denmark
169,Afghanistan,AF,0,2019,10,Unknown,Females,Denmark
170,Afghanistan,AF,0,2019,11,Unknown,Females,Denmark
171,Afghanistan,AF,0,2019,12,Unknown,Females,Denmark
172,Afghanistan,AF,0,2019,09,Unknown,Females,Estonia
173,Afghanistan,AF,0,2019,10,Unknown,Females,Estonia
174,Afghanistan,AF,0,2019,11,Unknown,Females,Estonia
175,Afghanistan,AF,0,2019,12,Unknown,Females,Estonia
176,Afghanistan,AF,0,2019,09,Unknown,Females,Greece
177,Afghanistan,AF,0,2019,10,Unknown,Females,Greece
178,Afghanistan,AF,0,2019,11,Unknown,Females,Greece
179,Afghanistan,AF,0,2019,12,Unknown,Females,Greece
180,Afghanistan,AF,0,2019,09,Unknown,Females,Spain
181,Afghanistan,AF,0,2019,10,Unknown,Females,Spain
182,Afghanistan,AF,0,2019,11,Unknown,Females,Spain
183,Afghanistan,AF,0,2019,12,Unknown,Females,Spain
184,Afghanistan,AF,0,2019,09,Unknown,Females,"European Union - 27 countries (from 2020)"
185,Afghanistan,AF,0,2019,10,Unknown,Females,"European Union - 27 countries (from 2020)"
186,Afghanistan,AF,0,2019,11,Unknown,Females,"European Union - 27 countries (from 2020)"
187,Afghanistan,AF,0,2019,12,Unknown,Females,"European Union - 27 countries (from 2020)"
188,Afghanistan,AF,5,2019,09,Unknown,Females,"European Union - 28 countries (2013-2020)"
189,Afghanistan,AF,0,2019,10,Unknown,Females,"European Union - 28 countries (2013-2020)"
190,Afghanistan,AF,0,2019,11,Unknown,Females,"European Union - 28 countries (2013-2020)"
191,Afghanistan,AF,0,2019,12,Unknown,Females,"European Union - 28 countries (2013-2020)"
192,Afghanistan,AF,0,2019,09,Unknown,Females,Finland
193,Afghanistan,AF,0,2019,10,Unknown,Females,Finland
194,Afghanistan,AF,0,2019,11,Unknown,Females,Finland
195,Afghanistan,AF,0,2019,12,Unknown,Females,Finland
196,Afghanistan,AF,0,2019,09,Unknown,Females,France
197,Afghanistan,AF,0,2019,10,Unknown,Females,France
198,Afghanistan,AF,0,2019,11,Unknown,Females,France
199,Afghanistan,AF,0,2019,12,Unknown,Females,France
200,Afghanistan,AF,0,2019,09,Unknown,Females,Croatia
201,Afghanistan,AF,0,2019,10,Unknown,Females,Croatia
202,Afghanistan,AF,0,2019,11,Unknown,Females,Croatia
203,Afghanistan,AF,0,2019,12,Unknown,Females,Croatia
204,Afghanistan,AF,0,2019,09,Unknown,Females,Hungary
205,Afghanistan,AF,0,2019,10,Unknown,Females,Hungary
206,Afghanistan,AF,0,2019,11,Unknown,Females,Hungary
207,Afghanistan,AF,0,2019,12,Unknown,Females,Hungary
208,Afghanistan,AF,0,2019,09,Unknown,Females,Ireland
209,Afghanistan,AF,0,2019,10,Unknown,Females,Ireland
210,Afghanistan,AF,0,2019,11,Unknown,Females,Ireland
211,Afghanistan,AF,0,2019,12,Unknown,Females,Ireland
212,Afghanistan,AF,0,2019,09,Unknown,Females,Iceland
213,Afghanistan,AF,0,2019,10,Unknown,Females,Iceland
214,Afghanistan,AF,0,2019,11,Unknown,Females,Iceland
215,Afghanistan,AF,0,2019,12,Unknown,Females,Iceland
216,Afghanistan,AF,0,2019,09,Unknown,Females,Italy
217,Afghanistan,AF,0,2019,10,Unknown,Females,Italy
218,Afghanistan,AF,0,2019,11,Unknown,Females,Italy
219,Afghanistan,AF,0,2019,12,Unknown,Females,Italy
220,Afghanistan,AF,0,2019,09,Unknown,Females,Liechtenstein
221,Afghanistan,AF,0,2019,10,Unknown,Females,Liechtenstein
222,Afghanistan,AF,0,2019,11,Unknown,Females,Liechtenstein
223,Afghanistan,AF,0,2019,12,Unknown,Females,Liechtenstein
224,Afghanistan,AF,0,2019,09,Unknown,Females,Lithuania
225,Afghanistan,AF,0,2019,10,Unknown,Females,Lithuania
226,Afghanistan,AF,0,2019,11,Unknown,Females,Lithuania
227,Afghanistan,AF,0,2019,12,Unknown,Females,Lithuania
228,Afghanistan,AF,0,2019,09,Unknown,Females,Luxembourg
229,Afghanistan,AF,0,2019,10,Unknown,Females,Luxembourg
230,Afghanistan,AF,0,2019,11,Unknown,Females,Luxembourg
231,Afghanistan,AF,0,2019,12,Unknown,Females,Luxembourg
232,Afghanistan,AF,0,2019,09,Unknown,Females,Latvia
233,Afghanistan,AF,0,2019,10,Unknown,Females,Latvia
234,Afghanistan,AF,0,2019,11,Unknown,Females,Latvia
235,Afghanistan,AF,0,2019,12,Unknown,Females,Latvia
236,Afghanistan,AF,0,2019,09,Unknown,Females,Malta
237,Afghanistan,AF,0,2019,10,Unknown,Females,Malta
238,Afghanistan,AF,0,2019,11,Unknown,Females,Malta
239,Afghanistan,AF,0,2019,12,Unknown,Females,Malta
240,Afghanistan,AF,0,2019,09,Unknown,Females,Netherlands
241,Afghanistan,AF,0,2019,10,Unknown,Females,Netherlands
242,Afghanistan,AF,0,2019,11,Unknown,Females,Netherlands
243,Afghanistan,AF,0,2019,12,Unknown,Females,Netherlands
244,Afghanistan,AF,0,2019,09,Unknown,Females,Norway
245,Afghanistan,AF,0,2019,10,Unknown,Females,Norway
246,Afghanistan,AF,0,2019,11,Unknown,Females,Norway
247,Afghanistan,AF,0,2019,12,Unknown,Females,Norway
248,Afghanistan,AF,0,2019,09,Unknown,Females,Poland
249,Afghanistan,AF,0,2019,10,Unknown,Females,Poland
250,Afghanistan,AF,0,2019,11,Unknown,Females,Poland
251,Afghanistan,AF,0,2019,12,Unknown,Females,Poland
252,Afghanistan,AF,0,2019,09,Unknown,Females,Portugal
253,Afghanistan,AF,0,2019,10,Unknown,Females,Portugal
254,Afghanistan,AF,0,2019,11,Unknown,Females,Portugal
255,Afghanistan,AF,0,2019,12,Unknown,Females,Portugal
256,Afghanistan,AF,0,2019,09,Unknown,Females,Romania
257,Afghanistan,AF,0,2019,10,Unknown,Females,Romania
258,Afghanistan,AF,0,2019,11,Unknown,Females,Romania
